author,content,time,likes,sentiment,url,post_time_of_day,post_day_of_week,sentiment_score,emotion_label,location,geolocation
adelaidepaul.bsky.social,"Well done. Adelaide is doing ok too.
Federal election here in Australia recently lost in grand style by opposition party proposing we go nuclear!
It was a significant part of a very lacklustre platform!",2025-05-10T21:40:40.649Z,3,negative,https://bsky.app/profile/adelaidepaul.bsky.social/post/3lotvrj3dq22j,Evening,Saturday,-0.8876813905008192,negative,,
aussienews.bsky.social,The Coalition was relying on outer metropolitan voters to deliver victory on election day — but they turned their backs on it in overwhelming numbers. #news #sbs #politics #australia #federal #election #2025,2025-05-10T21:40:26.847Z,0,negative,https://bsky.app/profile/aussienews.bsky.social/post/3lotvr67coc2m,Evening,Saturday,-0.4872595899328049,negative,,
news-feed.bsky.social,"@TheEconomist: For Anthony Albanese and his Labor Party, election-night euphoria has fast given way to the reality of hard slog ahead. Australia badly needs to make itself more robust, in security as well as in economics ",2025-05-10T20:18:17.447Z,0,negative,https://bsky.app/profile/news-feed.bsky.social/post/3lotr6cbwo72k,Evening,Saturday,-0.7127416329302145,negative,,
bluesky.awakari.com,"Latest news, breaking news and current affairs coverage from across Australia from theguardian.com https://www.theguardian.com/australia-news/2025/may/11/labors-clean-sweep-in-australian-election-suggests-young-male-voters-are-bucking-global-trends-but-...

| Details | Interest | Feed |",2025-05-10T20:10:26.251Z,0,positive,https://bsky.app/profile/bluesky.awakari.com/post/3lotqqatbul27,Evening,Saturday,0.984653895668648,positive,,
mdfrench.bsky.social,"MAGA tried - and failed - to buy the papal election.

Canada; Australia; the Vatican: a Trifecta of Trumpian Turpitude",2025-05-10T20:07:02.745Z,3,negative,https://bsky.app/profile/mdfrench.bsky.social/post/3lotqk4ca322x,Evening,Saturday,-0.6821180260574542,negative,,
Trump.activitypub.awakari.com.ap.brid.gy,"

https://www.theguardian.com/australia-news/2025/may/11/labors-clean-sweep-in-australian-election-suggests-young-male-voters-are-bucking-global-trends-but-why

#Australian #election #2025 #Australia #news #Anthony #Albanese #Joe #Rogan #Donald #Trump

Result Details",2025-05-11T01:59:22.050Z,0,neutral,https://bsky.app/profile/Trump.activitypub.awakari.com.ap.brid.gy/post/3loue7w52f2a2,Night,Sunday,-0.0524655636156183,neutral,,
thomasthefrench.bsky.social,"Since the Trump election:

- Canada voted liberal 
- Australia voted labor
- Vatican voted for a woke marxism pope

Good score.",2025-05-10T18:18:00.849Z,5,negative,https://bsky.app/profile/thomasthefrench.bsky.social/post/3lotkh7l4qs2m,Evening,Saturday,-0.7989250186141112,negative,,
electoralrenewalca.bsky.social,"In Australia, Instant Run-Off Voting was adopted for the Lower House specially because they thought it was going to be exclusive against third parties.

Labour unexpectedly won a by-election and the Nationalist Party government put in the reforms to prevent results like that from happening again.",2025-05-10T15:52:44.273Z,0,negative,https://bsky.app/profile/electoralrenewalca.bsky.social/post/3lotcdgsal22w,Afternoon,Saturday,-0.98562608196243,negative,,
Bongolian.mstdn.social.ap.brid.gy,"Adam Morton: #Australia has backed a rapid shift to renewable energy – and given Labor a chance on climate. How will it act? After a landslide election win, there will never be a better chance to shake off old policy impasses and deliver a more ambitious plan for the environment.

#ClimateChange […]",2025-05-10T15:36:45.645Z,0,negative,https://bsky.app/profile/Bongolian.mstdn.social.ap.brid.gy/post/3lotbghsqnza2,Afternoon,Saturday,-0.9977828426765716,negative,,
Bongolian.mstdn.social.ap.brid.gy,"Margaret Simons: As Australia’s election result reminds us, News Corp no longer has the power to sway voters: The declining power of the #Murdoch press is part of the wider story of the waning influence of mainstream media

#Australia #Politics #LiberalPartyofAustralia #NewsCorp #media […]",2025-05-10T15:33:36.848Z,0,negative,https://bsky.app/profile/Bongolian.mstdn.social.ap.brid.gy/post/3lotbastxnwa2,Afternoon,Saturday,-0.9644484660325898,negative,,
electionyard.com,"Right now in Australia, Labor is on track to get to 94 seats.  The seat record for a winning party at an election is 94 (Coalition, 1996).",2025-05-10T13:37:38.450Z,0,negative,https://bsky.app/profile/electionyard.com/post/3lot2rs447c2h,Afternoon,Saturday,-0.6860139884586425,negative,,
pewex.bsky.social,"Are you kidding me? Our lack of a melting pot in Australia is exactly why our Trumpist party just lost the election last week in a historic landslide, and it's why we still hold on to the richness of our cultural backgrounds. And Australia has LESS racial friction than you guys do.",2025-05-10T13:33:13.546Z,0,negative,https://bsky.app/profile/pewex.bsky.social/post/3lot2jxg25k2q,Afternoon,Saturday,-0.8808149624924146,negative,,
chrisrauchle.bsky.social,Very true but this “one national flag” talking point was a key one of the Conservative Party in Australia that just lost the election. It reeks of totalitarianism. That’s the Atlas network again. In Australia known as “advance”,2025-05-10T11:45:48.945Z,0,negative,https://bsky.app/profile/chrisrauchle.bsky.social/post/3losujvug7c2d,Morning,Saturday,-0.9940636262427897,negative,,
electoralrenewalca.bsky.social,"Completely untrue. Ranked ballots are a feature in an election system, which can be proportional or non-proportional.

Instant Run-Off Voting (Australia) is not proportional.

Single Transferable Vote (Ireland) is proportional.

Both use ranked ballots.",2025-05-10T11:20:37.548Z,0,negative,https://bsky.app/profile/electoralrenewalca.bsky.social/post/3lost4tudu224,Morning,Saturday,-0.887646088957722,negative,,
julie-mela.bsky.social,"#auspol
Australia VS The Internet Ep 3
Musk was heralded as a political kingmaker when he had a hand in helping Donald Trump win the US election. 
Musk has since meddled in the politics of the UK, Germany, Spain and elsewhere but has struggled to convert his political prowess into victories for ...",2025-05-10T09:40:40.651Z,6,negative,https://bsky.app/profile/julie-mela.bsky.social/post/3losnjz344c2e,Morning,Saturday,-0.9785039077988372,negative,,
esmeralda2000.bsky.social,"Australian Election 2025: Key Issues Include Media Criticism, Domestic Violence Response, and Housing Policies killbait.com/en/australia... #politics #australiaelection #domesticviolence #mediacriticism",2025-05-10T09:06:12.548Z,0,negative,https://bsky.app/profile/esmeralda2000.bsky.social/post/3loslmgyyhc2i,Morning,Saturday,-0.5932583808087952,negative,,
drvicfielding.bsky.social,"I really appreciate this young woman telling her story about previously being a member of the Liberal Party but in this election voting Labor (for HECs discount and housing). The obvious question is, why was she ever a Liberal? They don’t serve young people.
www.theguardian.com/australia-ne...",2025-05-10T08:59:26.546Z,67,negative,https://bsky.app/profile/drvicfielding.bsky.social/post/3loslac3fo22q,Morning,Saturday,-0.995874402071445,negative,,
fernandogros.com,FWIW the assessment here in Australia after our recent election is that Murdoch’s influence has waned because a lot of the electorate has aged out of cable and print news and Murdoch’s outlets don’t do as well online.,2025-05-10T08:45:30.549Z,3,negative,https://bsky.app/profile/fernandogros.com/post/3loskhhpfac2q,Morning,Saturday,-0.9800677315418316,negative,,
openforum.bsky.social,"Albanese must use the political capital of his overwhelming election win to tackle the fundamental budget, economic and social issues facing Australia, while the Liberals have a long way to climb out of the electoral pit they’ve dug for themselves. #auspol

www.openforum.com.au/sweeter-the-...",2025-05-10T07:49:31.253Z,0,negative,https://bsky.app/profile/openforum.bsky.social/post/3loshd6kt4s2m,Morning,Saturday,-0.8064026986739421,negative,,
flaneuse1.bsky.social,"She is. I'm a little more hopeful now than I have been with leaders like her, then the election of Mark Carney in Canada, re-election of Anthony Albanese in Australia & the leadership of Tusk, Macron & Starmer with regard to Ukraine.",2025-05-10T07:37:38.548Z,6,neutral,https://bsky.app/profile/flaneuse1.bsky.social/post/3losgo55nv223,Morning,Saturday,0.1143058721635157,neutral,,
gekko.bsky.social,"Let’s not think this mindset is restricted only to the LNP IPA 

Duopoly politicians are career politicians

The Party rules, individuals do not

A Duopoly produces ideology. Community based candidates focus on voter issues

Australia delivered a duopoly-lite this election",2025-05-10T06:36:21.447Z,3,negative,https://bsky.app/profile/gekko.bsky.social/post/3losdakflt22v,Morning,Saturday,-0.9485510849514898,negative,,
idrobinson.bsky.social,"More than a million Australians voted 🗳️ for independent candidates in last week’s election and counting continues in several close-fought seats.
www.theguardian.com/australia-ne...",2025-05-10T06:05:59.048Z,3,negative,https://bsky.app/profile/idrobinson.bsky.social/post/3losbk2kxas2w,Morning,Saturday,-0.7576205079257035,negative,,
gcprotogen.bsky.social,"Damn this turned into a shellacking once more votes were counted. There are only 8 seats that are uncertain. Only 3-4 are L/NP (Conservative) likely.

Australia has a somewhat slow count based on preference lists (a form of rank choice). A very democratic system nonetheless.",2025-05-10T05:14:56.347Z,1,negative,https://bsky.app/profile/gcprotogen.bsky.social/post/3los6ntzyi22i,Night,Saturday,-0.8247910895981654,negative,,
peggysanders.bsky.social,"Julia Banks:  “2025 election has shown that Liberal Party well on track to becoming fringe right-wing party, irrelevant, out of step with Australian values. Their Trumpian slogan “Let’s get Australia back on track” looks absurd.”",2025-05-10T03:29:29.853Z,4,negative,https://bsky.app/profile/peggysanders.bsky.social/post/3lorysfnfyc2k,Night,Saturday,-0.8195033176598934,negative,,
taiwanomaly.bsky.social,"Yeah, also not sure PR necessarily moderates, and Turnbull was making the point “Liberal arch-conservative” (certainly a phrase unique to Australia) Peter Dutton lost the election because he wasn’t moderate, but Turnbull dislikes Dutton, who led a 2018 coup that unseated him as PM.",2025-05-10T03:24:18.350Z,2,negative,https://bsky.app/profile/taiwanomaly.bsky.social/post/3loryj5dk2s2k,Night,Saturday,-0.9626758354900172,negative,,
peggysanders.bsky.social,"“Instead of slipping into minority, Albanese defied history and defied commentators. Labor on track to hold more than 90 seats in the lower house, and with the Coalition smashed, on the numbers alone Albanese could have the next election in the bag already.”

www.theguardian.com/australia-ne...",2025-05-10T02:07:06.056Z,12,negative,https://bsky.app/profile/peggysanders.bsky.social/post/3loru6wkies2k,Night,Saturday,-0.9338483342301004,negative,,
robfollis.bsky.social,Shouldn’t Gina be prosecuted for election interference? shoving Monney sideways into various blind trusts and Advance Australia?,2025-05-10T01:36:32.750Z,1,negative,https://bsky.app/profile/robfollis.bsky.social/post/3lorsigrtbs2m,Night,Saturday,-0.5209564769948398,negative,,
sbsaustralia.nzcow.com,📢 Labor women are set to outnumber men in the House of Representatives following the party's historic election result. How does Australia compare globally?,2025-05-10T01:24:07.744Z,0,negative,https://bsky.app/profile/sbsaustralia.nzcow.com/post/3lorrs7zfb72z,Night,Saturday,-0.6571079487081712,negative,,
namelessactivist.bsky.social,"www.farmweekly.com.au/story/896208... 
What now for Labor and Australia after landslide election result last weekend?",2025-05-10T01:19:18.050Z,3,neutral,https://bsky.app/profile/namelessactivist.bsky.social/post/3lorrjjoap22d,Night,Saturday,-0.3518875913504895,neutral,,
aussienews.bsky.social,"The Liberals and Nationals will review their policy platforms as they assess their sweeping election defeat, which resulted in Labor claiming a majority government. #news #sbs #politics #cost #of #living #australia",2025-05-10T01:00:12.549Z,1,negative,https://bsky.app/profile/aussienews.bsky.social/post/3lorqhhehet2m,Night,Saturday,-0.8831033595169193,negative,,
fairweathersurfer.bsky.social,"I want to thank every woman who ran this election. Politics is a deeply misogynistic business, and these brave women are now in a position to reshape politics in Australia. Make us proud.

1 Truth in political advertising
2 Uniformly capped political donations
3 Diverse media
4 Compassionate policy",2025-05-10T00:34:00.350Z,1,negative,https://bsky.app/profile/fairweathersurfer.bsky.social/post/3loroynbaes2h,Night,Saturday,-0.9997094036412616,negative,,
jimrhoughton.bsky.social,"Not got the totals but surely any claim to have 'destroyed the Greens' could be referenced against the total votes and their distribution for this and previous election. Doubt any big change.

Seems much of back-end politics is run on Voodoo and lavish claims.
www.theguardian.com/australia-ne...",2025-05-10T00:25:25.148Z,10,negative,https://bsky.app/profile/jimrhoughton.bsky.social/post/3loroj7izwk24,Night,Saturday,-0.8195033176598934,negative,,
nes-evan.bsky.social,"Labor’s landslide victory obscures a disturbing trend for the major parties

Labor took the glory in last weekend’s election, but beneath the surface an ongoing trend in how Australia votes has quietly carried on

The major parties’ primary vote has, once again fallen

www.abc.net.au/news/2025-05...",2025-05-10T00:22:21.847Z,0,negative,https://bsky.app/profile/nes-evan.bsky.social/post/3lorodqhtnk2g,Night,Saturday,-0.9687994851459136,negative,,
patsimons.bsky.social,"Great article detailing what third parties spent on digital ads this election, and strategies used to attack the greens. Its big money, and concerning our elections have become a digital arms race www.theguardian.com/australia-ne...",2025-05-10T00:13:41.153Z,7,negative,https://bsky.app/profile/patsimons.bsky.social/post/3lornu6emxk2i,Night,Saturday,-0.849171474901325,negative,,
catmanforever.bsky.social,"Those blaming the #Greens' election result on their ethical stance on #Gaza seem to forget that #Israel’s loudest vocal supporters in Australia are the #LNPCorruptionParty.  

#auspol #aupol #FuckZionism #LNPNeverAgain #GazaGenocide",2025-05-09T23:56:48.850Z,3,negative,https://bsky.app/profile/catmanforever.bsky.social/post/3lormw2gjrc2i,Evening,Friday,-0.9766459110273932,negative,,
randomnotrandom.bsky.social,Change “Canada” to “Australia” and “Conservative Party of Canada” to “LNP Coalition” and you’ve described last week’s Australian Federal election.,2025-05-09T23:15:38.248Z,0,negative,https://bsky.app/profile/randomnotrandom.bsky.social/post/3lorkmicuic2b,Evening,Friday,-0.5581660914014768,negative,,
oxfairy.bsky.social,"An excellent overview of the recent democratic outcome in the recent Federal election in Australia.  (Red Left in Australia) 

www.abc.net.au/news/2025-05...",2025-05-09T23:09:30.749Z,0,neutral,https://bsky.app/profile/oxfairy.bsky.social/post/3lorkbcqk6s27,Evening,Friday,-0.1325877894512204,neutral,,
stellaaimber.bsky.social,Indeed; she is a hard right politician. Cash came out early with very foolish and incredibly short sighted comments about Australia going full Trump. At the time l remember thinking she had just handed the election over on a platter. I would love to see her in a contest with ProfJeffrey Sachs.,2025-05-09T22:52:50.953Z,8,negative,https://bsky.app/profile/stellaaimber.bsky.social/post/3lorjdpqokk2b,Evening,Friday,-0.9754991144355012,negative,,
aussienews.bsky.social,Many seats are changing hands after the federal election and some are still too close to call. Here's the state of play across the country. #news #sbs #politics #australia #federal #election #2025,2025-05-09T22:40:11.450Z,0,negative,https://bsky.app/profile/aussienews.bsky.social/post/3lorin3m67y2q,Evening,Friday,-0.5209564769948398,negative,,
BestTrollEUW.paquita.masto.host.ap.brid.gy,"Evolución de los apoyos en Canadá y Australia desde la elección de Trump.
A ver si conforme van realizandose elecciones en el mundo voy actualizando.",2025-05-09T22:30:41.751Z,0,negative,https://bsky.app/profile/BestTrollEUW.paquita.masto.host.ap.brid.gy/post/3lorhpmp5xa52,Evening,Friday,-0.7847428891964163,negative,,
aussienews.bsky.social,"After hitting 'rock bottom' at the federal election, the SA Liberals will be hoping the only way from here is up, writes state political reporter Leah MacLennan. #news #abc #liberal #party #of #australia #alp #australian #federal #elections",2025-05-09T21:40:09.448Z,1,negative,https://bsky.app/profile/aussienews.bsky.social/post/3lorfbq4tn42h,Evening,Friday,-0.6571079487081712,negative,,
shanknspaisley.bsky.social,"This is why I voted for labour in the recent election in Australia. Better health care, and a vision for Australia that includes free sauce at all restaurants! If you’ve ever been to Australia you will get this reference.",2025-05-09T20:58:54.551Z,0,negative,https://bsky.app/profile/shanknspaisley.bsky.social/post/3lorcxrkn6c2w,Evening,Friday,-0.9954492997213252,negative,,
aussienews.bsky.social,"Labor took the glory, but beneath the surface of the election result an ongoing trend holds a warning for both major parties. #news #abc #elections #australian #federal #independents #alp #liberal #party #of #australia #national",2025-05-09T19:00:10.449Z,1,negative,https://bsky.app/profile/aussienews.bsky.social/post/3lor4dnpnhb2p,Evening,Friday,-0.70920284622888,negative,,
rpahre.bsky.social,"Trump has now contributed to conservative losses in elections in #Canada, #Australia, and #VaticanCity; he was also a factor in #Germany 's election and coalition negotiations.

JD #Vance has achieved the distinction of being denounced by two popes in a single year.

www.msnbc.com/top-stories/...",2025-05-09T17:41:00.255Z,2,negative,https://bsky.app/profile/rpahre.bsky.social/post/3loqxvzybz22z,Afternoon,Friday,-0.9066880646234085,negative,,
hookegb.bsky.social,"Australian Electoral Commission (AEC) Australia (May 03rd) 2025 Federal Election (AEC: ""Voting in the 2025 federal election is compulsory for the 18.1 million people on the electoral roll.""): aec.gov.au/media/2025/0...",2025-05-09T17:01:18.006Z,0,negative,https://bsky.app/profile/hookegb.bsky.social/post/3loqvp32u522j,Afternoon,Friday,-0.8014987569085725,negative,,
ericbanana.bsky.social,"Penny Wongs family are not being bombed, her family are not being exterminated. 

Penny Wong is a disgraceful genocide enabler.

The ALP have no mandate to speak about what Australia thinks about genocide. 

The ALP received less than 35% of the FPV in the recent 2025 election. 

#auspol",2025-05-09T16:19:19.149Z,63,negative,https://bsky.app/profile/ericbanana.bsky.social/post/3loqtdxk7zs2l,Afternoon,Friday,-0.980637516388786,negative,,
